RODADA;TIME1;TIME2;ÁRBITRO;VAR;BOLA ROLANDO;TEMPO TOTAL;TIRO DE META (TIME1);TIRO DE META (TIME2);FALTAS (TIME1);FALTAS (TIME2);LATERAIS (TIME1);LATERAIS (TIME2);ESCANTEIOS (TIME1);ESCANTEIOS (TIME2);OUTROS (TIME1);OUTROS (TIME2);TOTAL (TIME1);TOTAL (TIME2)
1;SÃO PAULO;SPORT RECIFE;Felipe Fernandes de Lima;Daniel Nobre Bins;53:03;105:40;02:33;08:25;07:08;10:50;05:12;05:20;02:15;01:13;08:41;00:06;25:49;25:54:00
1;CRUZEIRO;MIRASSOL;Alex Gomes Stefano;Rodrigo D'Alonso Ferreira;50:49;102:11;04:53;02:41;13:18;07:58;06:10;04:58;01:14;02:49;01:31;05:16;27:06;23:42
1;GRÊMIO;ATLÉTICO-MG;Raphael Claus;Daiane Muniz;57:21;103:11;05:24;01:33;05:43;08:34;04:04;03:13;00:35;04:56;04:54;05:35;20:40;23:51
1;FORTALEZA;FLUMINENSE;Rodrigo Jose Pereira de Lima;Gilberto Rodrigues Castro Junior;59:00;100:15;10:46;00:36;03:51;07:17;04:13;03:05;03:09;02:41;00;05;21:59;18:39
1;JUVENTUDE;VITÓRIA;Paulo Cesar Zanovelli da Silva;Carlos Eduardo Nunes Braga;54:10;104:23;04:02;00:55;11:02;13:33;07:58;04:57;01:42;02:13;00:22;02:31;25:06;24:09:00
1;FLAMENGO;INTERNACIONAL;Davi De Oliveira Lacerda;Caio Max Augusto Vieira;56:53;99:54;00:15;06:20;07:58;13:35;02:27;05:50;01:55;01:19;01:15;01:16;13:50;28:20:00
1;PALMEIRAS;BOTAFOGO;Ramon Abatti Abel;Wagner Reway;55:07;97:48;02:45;04:33;11:48;09:18;01:59;07:08;01:18;01:19;01:24;00:14;19:14;22:32
1;VASCO DA GAMA;SANTOS;Rafael Rodrigo Klein;Rafael Traci;55:30;98:53;02:47;05:53;05:39;08:12;04:58;05:25;01:25;01:54;04:01;02:23;18:50;23:47
1;BAHIA;CORINTHIANS;Bruno Arleu de Araujo;Rodrigo Nunes de Sa;58:56;100:08;03:13;03:29;10:51;09:25;02:11;03:25;01:40;02:26;00:53;02:46;18:48;21:31
1;RB BRAGANTINO;CEARÁ;Bruno Pereira Vasconcelos;Marco Aurelio Augusto Fazekas Ferreira;57:09;101:09;01:57;09:59;05:32;09:49;01:46;05:09;03:12;00:52;01:51;02:53;14:18;28:42:00
2;CORINTHIANS;VASCO DA GAMA;Anderson Daronco;Rodrigo D'Alonso Ferreira;57:20;103:59;05:29;00:39;08:17;15:12;02:26;03:39;00:30;03:16;00:15;06:23;16:57;29:09:00
2;CEARÁ;GRÊMIO;Edina Alves Batista;Caio Max Augusto Vieira;46:10;98:15;05:57;01:49;15:52;06:13;04:32;02:56;01:42;04:34;04:36;01:11;32:39;16:43
2;BOTAFOGO;JUVENTUDE;Rodrigo Jose Pereira de Lima;Diego Pombo Lopez;56:46;97:03;03:49;02:36;06:27;11:15;03:11;05:34;02:11;01:34;00;02:52;15:38;23:51
2;FLUMINENSE;RB BRAGANTINO;Wilton Pereira Sampaio;Marco Aurelio Augusto Fazekas Ferreira;56:17;98:53;03:42;02:52;05:51;06:46;05:17;04:11;02:48;02:24;05:31;03:05;23:09;19:18
2;ATLÉTICO-MG;SÃO PAULO;Ramon Abatti Abel;Wagner Reway;52:40;103:43;00:45;05:08;11:22;13:44;00:55;06:09;05:46;01:56;00:36;03:24;19:24;30:21:00
2;INTERNACIONAL;CRUZEIRO;Marcelo de Lima Henrique;Daiane Muniz;56:13;100:23;01:49;02:10;11:46;12:29;02:54;04:05;03:24;01:06;00;04:54;19:53;24:44:00
2;VITÓRIA;FLAMENGO;Rafael Rodrigo Klein;Rafael Traci;64:11;98:55;04:03;00:56;06:43;03:43;02:27;02:47;01:21;04:02;03:36;04:27;18:10;15:55
2;SPORT RECIFE;PALMEIRAS;Bruno Arleu de Araujo;Rodrigo Nunes de Sa;48:00;104:11;05:10;02:42;10:05;11:32;03:29;07:40;02:35;01:22;02:17;08:29;23:36;31:45:00
